ID,SPEAKER,ACC,REPETITION,TRIAL,INTERVAL,ONSET,OFFSET,INTSAMPLE,POSX,POSY,TOTSAMPLE,idx,CONDITION
PL1.acc_kap_2_327,PL1,acc,2,327,2,298,306,6,57.1910960106095,17.1320250969068,19,2,ka
PL1.acc_kap_2_327,PL1,acc,2,327,2,298,306,7,56.9948550998632,17.5738874221698,20,2,ka
PL1.acc_kap_2_327,PL1,acc,2,327,2,298,306,8,56.8153494154459,17.9117836513184,21,2,ka
PL1.acc_kap_2_327,PL1,acc,2,327,2,298,306,9,56.6670780615217,18.1510314388625,22,2,ka
PL1.acc_kap_2_327,PL1,acc,2,327,3,307,313,1,56.5603173943545,18.3088915448428,23,2,ka
PL1.acc_kap_2_327,PL1,acc,2,327,3,307,313,2,56.4988607636255,18.4085565811683,24,2,ka
PL1.acc_kap_2_327,PL1,acc,2,327,3,307,313,3,56.4790659086668,18.4723647463802,25,2,ka
PL1.acc_kap_2_327,PL1,acc,2,327,3,307,313,4,56.4907800020481,18.5167605777612,26,2,ka
PL1.acc_kap_2_327,PL1,acc,2,327,3,307,313,5,56.520023058915,18.550544091183,27,2,ka
PL1.acc_kap_2_327,PL1,acc,2,327,3,307,313,6,56.5524608702231,18.5761359673164,28,2,ka
PL1.acc_kap_2_327,PL1,acc,2,327,3,307,313,7,56.5764580439026,18.5925251997789,29,2,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,1,57.8613555795499,8.08727832368917,1,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,2,57.9012395033395,8.22838701785161,2,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,3,57.9527718389548,8.41176266743492,3,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,4,58.0055416680448,8.64171451103955,4,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,5,58.0497018988788,8.92150839595161,5,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,6,58.0785759360132,9.25500341232441,6,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,7,58.0896760652296,9.64712022972444,7,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,8,58.0840552460778,10.102114601875,8,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,9,58.0642544810525,10.6205520591171,9,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,10,58.0319791149011,11.1974376086838,10,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,11,57.986605598678,11.8227475939081,11,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,12,57.9249030283768,12.4842054122137,12,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,1,351,363,13,57.8417062431317,13.1698421039901,13,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,2,364,372,1,57.7311171361313,13.8689800967647,14,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,2,364,372,2,57.5876903972361,14.5711917415292,15,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,2,364,372,3,57.4074356601039,15.2645952650353,16,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,2,364,372,4,57.188665644026,15.9345577318432,17,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,2,364,372,5,56.9326257292033,16.5635755254932,18,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,2,364,372,6,56.644130499796,17.1324518076487,19,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,2,364,372,7,56.3320146890796,17.6227377956668,20,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,2,364,372,8,56.0093848327281,18.0200488425727,21,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,2,364,372,9,55.6929210678167,18.3176921100904,22,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,1,55.4011008404422,18.5192107859293,23,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,2,55.1511886338261,18.6387294480589,24,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,3,54.9558729671599,18.698348130646,25,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,4,54.8205059844959,18.7234030756272,26,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,5,54.7420026255235,18.7367670207769,27,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,6,54.7096076206622,18.7543418135078,28,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,7,54.7075560366423,18.7830740811661,29,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,8,54.7185228226643,18.8215008645015,30,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,9,54.7271559945043,18.8625017514593,31,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,10,54.7226450672752,18.8967942387486,32,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,11,54.6999725417444,18.916424184972,33,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,12,54.6597509892528,18.9173253147599,34,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,13,54.606785990392,18.9006128288662,35,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,14,54.5478723902021,18.8721517438433,36,3,ka
PL1.acc_kap_3_489,PL1,acc,3,489,3,373,387,15,54.4893335131522,18.8406153613806,37,3,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,1,55.9628452327716,8.98612477744053,1,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,2,55.9976534558125,9.11040347619822,2,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,3,56.0337152213762,9.25371183173845,3,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,4,56.0649483612063,9.41598239397846,4,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,5,56.0864636387524,9.59785164048093,5,4,ka
